Geography Name,County FIPS,County Name,Place FIPS,Total Population,Population Density (Per Sq. Mile),Area (Land),Living in Poverty,At or Above Poverty Level,Population Age 18 to 64 for Whom Poverty Status  Is Determined:,Living in Poverty.1,At or Above Poverty Level.1,Population Age 65 and Over for Whom Poverty  Status Is Determined:,Living in Poverty.2,At or Above Poverty Level.2,Rural Capacity (Headwaters Index),Social Vulnerability (CDC Index),Percent of Land in 500-Year Floodplain,Percent of Land in 100-Year Floodplain,Total Percent of Land at Some Level of Flood Risk,Application Number,Project Title,Project Description ,Applicant,Applicant Type,Project Type,Application Date,State Agency Requested for Funding,Funding Request ($),Total Project Budget ($),Funding Decision Year,Award Date,Grant Award ($),Encumbered ($),City/Town
Maiden town,35,Catawba,3740660,3413,586.2,5.82,0,728,1945,113,1832,451,47,404,,0.48,0.33,8.72,9.05,,,,,,,,,,,,,,,
Mamers CDP,85,Harnett,3740860,613,101.5,6.04,34,47,460,64,396,72,1,71,,0.71,0,0.37,0.37,2,Town-wide Hydrologic + Hydraulic (H+H) Analysis,"Lillington is subject to frequent flooding which makes roads impassable and reduces access to emergency services. The town began to recognize how severe the stormwater system’s limitations are after a major rainstorm in 2020. Following the rain event, the town identified several areas of inadequate and damaged stormwater infrastructure. Golden LEAF flood mitigation grant funds will be used for engineering expenses for analysis and planning regarding ten flooding hotspots. There are households, public and private entities within the immediate project area of the identified hotspots. The entire town will benefit from this project. Major highways, including NC 210, US 401, US 421, and NC 27 will also benefit since they pass through Lillington and are frequently closed during heavy rain events.",Town of Lillington,Local Government,Planning,2/23/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,6/2/22,225250,225250,Lillington
Manns Harbor CDP,55,Dare,3740980,719,180.1,3.99,15,109,402,0,402,193,14,179,,0.23,1.95,98.05,100,21,Roanoke Island Drainage Improvements,"The Roanoke Colony residential neighborhood in Dare County experiences frequent flooding during major storm events due to undersized drainage structures in this flat, low-lying area on the northern end of Roanoke Island. After Hurricane Matthew, NCDOT and Dare County completed the 2019 Roanoke Island Flooding Analysis which proposed drainage improvements. Golden LEAF flood mitigation grant funds will be used to incorporate recommendations to upsize pipes and implement other improvements to the area. Areas upstream flood more frequently and the study determined undersized piping in the project area slowed the drainage of those properties. Proposed work includes replacing 150 linear feet of existing pipe with a larger size, enclosing the ditch within Roanoke Colony with drainage pipe with drop inlets, replacing the culvert beneath Roanoke Trail, removing the culvert immediately downstream of the airport property, and regrading/widening the ditch that runs between the Outer Banks SPCA and airport. Homes located in the upstream area identified in the analysis will benefit from this project.",Dare County,Local Government,Infrastructure,6/23/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,10/6/22,250000,250000,County
Manteo town,55,Dare,3741060,1883,1003.3,1.88,194,206,1051,174,877,428,13,415,8,0.52,1.5,98.5,100,21,Roanoke Island Drainage Improvements,"The Roanoke Colony residential neighborhood in Dare County experiences frequent flooding during major storm events due to undersized drainage structures in this flat, low-lying area on the northern end of Roanoke Island. After Hurricane Matthew, NCDOT and Dare County completed the 2019 Roanoke Island Flooding Analysis which proposed drainage improvements. Golden LEAF flood mitigation grant funds will be used to incorporate recommendations to upsize pipes and implement other improvements to the area. Areas upstream flood more frequently and the study determined undersized piping in the project area slowed the drainage of those properties. Proposed work includes replacing 150 linear feet of existing pipe with a larger size, enclosing the ditch within Roanoke Colony with drainage pipe with drop inlets, replacing the culvert beneath Roanoke Trail, removing the culvert immediately downstream of the airport property, and regrading/widening the ditch that runs between the Outer Banks SPCA and airport. Homes located in the upstream area identified in the analysis will benefit from this project.",Dare County,Local Government,Infrastructure,6/23/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,10/6/22,250000,250000,County
Marble CDP,39,Cherokee,3741220,546,498,1.1,146,126,248,43,205,26,26,0,,0.48,2.73,4.48,7.2,,,,,,,,,,,,,,,
Marietta town,155,Robeson,3741380,146,130.7,1.12,8,29,64,13,51,45,2,43,57,0.93,0,7.3,7.3,4,Flood Mitigation for the Linkhaw Road Area,"Lumberton, specifically in the area of Linkhaw Road, experiences flooding in any 2-inch or greater rain event. The city completed several studies to develop strategies to resolve flooding throughout the city. This project area is part of its existing studies and is located along a major thoroughfare that is in a 518-acre drainage area. The specific project site is at the downstream end of a drainage ditch that has larger pipes upstream. Due to the undersized existing piping, this project site creates a bottleneck for stormwater flow. Golden LEAF flood mitigation grant funds will be used to upsize the capacity of stormwater at the juncture of Linkhaw Rd and the railroad. The applicant proposes to install stormwater infrastructure to increase the capacity of the flow under the railroad which will require widening the canal to accommodate it. The stormwater will flow into a culvert downstream and into an existing impoundment area. Once the infrastructure work is completed, the city will be able to utilize the road more reliably for emergency services. There are households, public and private entities (including a kidney dialysis center), and a nursing facility in the immediate project area.",City of Lumberton,Local Government,Infrastructure,2/28/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,6/2/22,250000,250000,Lumberton
Marietta town,155,Robeson,3741380,146,130.7,1.12,8,29,64,13,51,45,2,43,57,0.93,0,7.3,7.3,24,Stormwater Assessment and Plan,"The Town of Maxton experiences flooding during heavy rain events in the subwatershed that drains the eastern half of the town. The town first noticed damage to its system when severe damage occurred following Hurricane Matthew. FEMA addressed many issues in this part of town, including repairs to streets and culverts, but determined the conveyance pipe experienced damage that predated Hurricane Matthew and was not eligible for FEMA funding. Due to this evidence, the town realized other sites have likely experienced damage to infrastructure that was not as dramatically exposed as the damage noticed following Hurricane Matthew. Flooding has affected the town in a number of different ways. Access to emergency services becomes impacted, natural swales throughout the town have filled with sediment, which causes conveyance of the stormwater to no longer flow as it was intended. Sinkholes and depressions have also begun to form around stormwater conveyance pipes due to fractures in the system. Additionally, the town has experienced flooding events that flood the gym and adjacent classrooms in the local elementary school. The railroad running through town has also been overtopped during flooding events. Golden LEAF flood mitigation grant funds will be used to develop a Stormwater Assessment and Plan for the eastern half of the town. Components of this project include field data collection, modeling of existing watersheds, development of concept plans and alternatives, and a summary report. The town has also provided a resolution to its commitment for a funding strategy to implement improvements that are identified in the stormwater comprehensive plan. All residents of the town will benefit from this project. Within the immediate project area there are households, businesses, other public and private entities, and health care providers that will benefit from this project.",Town of Maxton,Local Government,Planning,7/7/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,10/6/22,122500,122500,Maxton
Marion city,111,McDowell,3741420,7853,1325.5,5.92,697,926,4106,922,3184,1310,166,1144,89,0.74,0.91,6.05,6.97,,,,,,,,,,,,,,,
Mar-Mac CDP,191,Wayne,3741540,3119,685.6,4.55,125,603,1731,347,1384,660,16,644,58,0.72,2.62,21.64,24.26,,,,,,,,,,,,,,,
Marshall town,115,Madison,3741580,658,165.2,3.98,13,75,422,102,320,112,24,88,7,0.43,0.97,10.37,11.34,,,,,,,,,,,,,,,
Marshallberg CDP,31,Carteret,3741600,412,646.8,0.64,0,20,301,96,205,91,0,91,,0.44,2.27,97.73,100,,,,,,,,,,,,,,,
Mars Hill town,115,Madison,3741620,3035,1524.4,1.99,54,455,1534,361,1173,278,8,270,83,0.34,1.03,3.08,4.1,,,,,,,,,,,,,,,
Marshville town,179,Union,3741640,2748,1294.9,2.12,247,372,1658,306,1352,355,38,317,65,0.52,0.03,3.21,3.23,,,,,,,,,,,,,,,
Marvin village,179,Union,3741720,6672,1114.6,5.99,46,2183,3854,102,3752,589,13,576,8,0.02,0.92,6.68,7.6,,,,,,,,,,,,,,,
Matthews town,119,Mecklenburg,3741960,32682,1909.6,17.11,362,6496,20199,1237,18962,5315,99,5216,82,0.2,0,2.27,2.27,,,,,,,,,,,,,,,
Maury CDP,79,Greene,3742000,1362,1293.7,1.05,140,25,159,91,68,78,7,71,,0.86,,,,,,,,,,,,,,,,,,
Maxton town,155,Robeson,3742020,2614,968.8,2.7,493,221,1494,534,960,406,77,329,,0.93,0.04,8.37,8.41,4,Flood Mitigation for the Linkhaw Road Area,"Lumberton, specifically in the area of Linkhaw Road, experiences flooding in any 2-inch or greater rain event. The city completed several studies to develop strategies to resolve flooding throughout the city. This project area is part of its existing studies and is located along a major thoroughfare that is in a 518-acre drainage area. The specific project site is at the downstream end of a drainage ditch that has larger pipes upstream. Due to the undersized existing piping, this project site creates a bottleneck for stormwater flow. Golden LEAF flood mitigation grant funds will be used to upsize the capacity of stormwater at the juncture of Linkhaw Rd and the railroad. The applicant proposes to install stormwater infrastructure to increase the capacity of the flow under the railroad which will require widening the canal to accommodate it. The stormwater will flow into a culvert downstream and into an existing impoundment area. Once the infrastructure work is completed, the city will be able to utilize the road more reliably for emergency services. There are households, public and private entities (including a kidney dialysis center), and a nursing facility in the immediate project area.",City of Lumberton,Local Government,Infrastructure,2/28/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,6/2/22,250000,250000,Lumberton
Maxton town,155,Robeson,3742020,2614,968.8,2.7,493,221,1494,534,960,406,77,329,,0.93,0.04,8.37,8.41,24,Stormwater Assessment and Plan,"The Town of Maxton experiences flooding during heavy rain events in the subwatershed that drains the eastern half of the town. The town first noticed damage to its system when severe damage occurred following Hurricane Matthew. FEMA addressed many issues in this part of town, including repairs to streets and culverts, but determined the conveyance pipe experienced damage that predated Hurricane Matthew and was not eligible for FEMA funding. Due to this evidence, the town realized other sites have likely experienced damage to infrastructure that was not as dramatically exposed as the damage noticed following Hurricane Matthew. Flooding has affected the town in a number of different ways. Access to emergency services becomes impacted, natural swales throughout the town have filled with sediment, which causes conveyance of the stormwater to no longer flow as it was intended. Sinkholes and depressions have also begun to form around stormwater conveyance pipes due to fractures in the system. Additionally, the town has experienced flooding events that flood the gym and adjacent classrooms in the local elementary school. The railroad running through town has also been overtopped during flooding events. Golden LEAF flood mitigation grant funds will be used to develop a Stormwater Assessment and Plan for the eastern half of the town. Components of this project include field data collection, modeling of existing watersheds, development of concept plans and alternatives, and a summary report. The town has also provided a resolution to its commitment for a funding strategy to implement improvements that are identified in the stormwater comprehensive plan. All residents of the town will benefit from this project. Within the immediate project area there are households, businesses, other public and private entities, and health care providers that will benefit from this project.",Town of Maxton,Local Government,Planning,7/7/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,10/6/22,122500,122500,Maxton
Mayodan town,157,Rockingham,3742060,2352,817.6,2.88,33,308,1241,190,1051,656,142,514,66,0.66,1.61,7.64,9.25,,,,,,,,,,,,,,,
Maysville town,103,Jones,3742100,1001,1169,0.86,78,194,584,94,490,134,30,104,65,0.8,0,3.65,3.65,,,,,,,,,,,,,,,
Mebane city,135,Orange,3742240,15564,1501.1,10.37,680,3552,9342,698,8644,1876,270,1606,,0.5,0.33,4.63,4.96,,,,,,,,,,,,,,,
Mesic town,137,Pamlico,3742480,197,190.8,1.03,12,15,113,31,82,57,2,55,53,0.91,0,100,100,,,,,,,,,,,,,,,
Micro town,101,Johnston,3742620,688,1640.9,0.42,133,72,330,138,192,153,45,108,54,0.73,,,,23,Selma Flood Mitigation modeling,"The Town of Selma experiences flooding during heavy non-named rain events in the northeast quadrant of town. The town is separated in four quadrants that are separated by railroads crossing through the center of town. Each quadrant has its own individual internal drainage creating a bowl type system. Golden LEAF flood mitigation grant funds will be used to develop a stormwater master plan for the Town of Selma in the northeastern quadrant. Components of this project include field data collection, modeling of existing watersheds, development of concept plans and alternatives, and a summary report. Within this quadrant there are households, businesses, other public and private facilities, and healthcare facilities that will benefit from this project. Additionally, the Town Hall, the Selma Fire Department, and the historic Rudy Theater are located in this area. The roads around the fire and EMS stations become impassable. Access to US highway 301 also becomes restricted during flood events. ",Town of Selma,Local Government,Planning,7/7/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,10/6/22,137500,137500,Selma
Middleburg town,181,Vance,3742640,269,342.6,0.79,54,18,122,41,81,75,8,67,56,0.51,,,,,,,,,,,,,,,,,,
Middlesex town,127,Nash,3742700,1087,1040.1,1.05,74,285,593,134,459,135,9,126,58,0.88,0,0.27,0.27,,,,,,,,,,,,,,,
Midland town,25,Cabarrus,3742760,3702,350.5,10.56,48,943,2340,155,2185,361,0,361,,0.3,0.96,5.63,6.59,,,,,,,,,,,,,,,
Midway town,57,Davidson,3742860,4851,621.9,7.8,188,779,2909,135,2774,975,7,968,,0.31,0.03,1.21,1.24,,,,,,,,,,,,,,,
Millers Creek CDP,193,Wilkes,3743160,1461,326.5,4.48,18,119,765,202,563,559,40,519,53,0.61,,,,,,,,,,,,,,,,,,
Millingport CDP,167,Stanly,3743200,448,78.9,5.68,0,44,315,0,315,89,0,89,,0.51,0,1.45,1.45,20,Little Long Creek 2 Watershed Plan,"The City of Albemarle has experienced flooding issues related to aging infrastructure and growth within the city. Golden LEAF flood mitigation grant funds will be used for a watershed study for the Little Long Creek 2 sub-basin. Components of this study include field investigation, stormwater inventory, H&H modeling, analysis of secondary systems, and the development of a watershed master plan. With the development of the master plan, the city plans to perform cost benefit analysis and priority rankings to aid staff in its implementation. Once completed, the city will be able to prioritize projects to undertake along this watershed. The city plans to fund these projects through an enterprise fund with the development of a stormwater management program and anticipates collecting fees for this program beginning in January 2023. In this project area there are households, businesses, and other public and private entities that will benefit from the completion of this project. ",City of Albemarle,Local Government,Planning,6/15/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,10/6/22,250000,250000,Albemarle
Mills River town,89,Henderson,3743260,7319,328,22.31,75,1438,4068,336,3732,1738,92,1646,,0.18,1.61,14.46,16.07,,,,,,,,,,,,,,,
Milton town,33,Caswell,3743300,239,614.5,0.39,0,48,143,13,130,48,8,40,48,0.56,3.16,19.28,22.44,,,,,,,,,,,,,,,
Milwaukee CDP,131,Northampton,3743320,168,97.7,1.72,0,65,85,0,85,18,0,18,,0.69,0,6.94,6.94,,,,,,,,,,,,,,,
Mineral Springs town,179,Union,3743360,3057,372.3,8.21,45,508,2080,204,1876,422,25,397,82,0.11,0.05,4.64,4.7,,,,,,,,,,,,,,,
Minnesott Beach town,137,Pamlico,3743440,474,136.5,3.47,7,18,220,86,134,229,37,192,61,0.37,3.78,7.65,11.43,,,,,,,,,,,,,,,
Mint Hill town,"119, 179","Mecklenburg, Union",3743480,27258,1116.5,24.41,524,4787,16777,1120,15657,5170,321,4849,,0.18,0,3.08,3.08,,,,,,,,,,,,,,,
Misenheimer village,167,Stanly,3743580,702,432.4,1.62,0,43,118,4,114,74,5,69,,0.47,0,3.4,3.4,20,Little Long Creek 2 Watershed Plan,"The City of Albemarle has experienced flooding issues related to aging infrastructure and growth within the city. Golden LEAF flood mitigation grant funds will be used for a watershed study for the Little Long Creek 2 sub-basin. Components of this study include field investigation, stormwater inventory, H&H modeling, analysis of secondary systems, and the development of a watershed master plan. With the development of the master plan, the city plans to perform cost benefit analysis and priority rankings to aid staff in its implementation. Once completed, the city will be able to prioritize projects to undertake along this watershed. The city plans to fund these projects through an enterprise fund with the development of a stormwater management program and anticipates collecting fees for this program beginning in January 2023. In this project area there are households, businesses, and other public and private entities that will benefit from the completion of this project. ",City of Albemarle,Local Government,Planning,6/15/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,10/6/22,250000,250000,Albemarle
Mocksville town,59,Davie,3743720,5241,674.8,7.77,436,739,3172,636,2536,768,116,652,69,0.73,1.02,3.23,4.24,,,,,,,,,,,,,,,
Momeyer town,127,Nash,3743860,430,389.3,1.1,85,37,242,62,180,66,3,63,55,0.71,,,,,,,,,,,,,,,,,,
Moncure CDP,37,Chatham,3743880,798,168.7,4.73,0,96,579,17,562,123,0,123,,0.35,0.3,17.16,17.46,16,Loves Creek Tributary 2 Flood Study,The Town of Siler City experiences flooding along Loves Creek Tributary 2 several times a year during heavy rain events. Flooding along the tributary causes nearby businesses to experience property damage and roadways to flood resulting in loss of access by the public. Golden LEAF flood mitigation grant funds will be used for necessary analysis to determine a list of priority projects for flood and stormwater mitigation. The town and business owners in the area will be responsible for implementation. The town is also committing to the creation of a stormwater utility fund. Businesses and households in the area will benefit from this project.,Town of Siler City,Local Government,Planning,3/29/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,10/6/22,210000,210000,Siler City
Monroe city,179,Union,3743920,35339,1154.5,30.61,2010,7165,21153,2448,18705,4369,561,3808,67,0.62,0.65,6.47,7.12,,,,,,,,,,,,,,,
Montreat town,21,Buncombe,3744100,362,132.8,2.73,0,6,28,0,28,12,0,12,74,0.5,0.65,1.51,2.17,17,Swannanoa River Road Flood Mitigation and Damage Reduction Feasibility Study,"The Swannanoa River floodplains between South Tunnel Road and Biltmore Avenue and Hendersonville Road in Asheville experience frequent flooding resulting in closure of Swannanoa River Road, property damage, disruption of emergency service access, and increased wastewater treatment costs due to sanitary sewer overflows. Swannanoa River Road serves as the principal east-west corridor for emergency services and access to Mission Hospital and Mission Children's Hospital. Golden LEAF flood mitigation grant funds will be used to evaluate the flood mitigation and flood damage reduction benefits of potential actions through hydrologic and hydraulic modeling, updating the Structure Inventory Database, developing a conceptual plan and feasibility analysis, and implementation cost estimates for the potential floodplain modifications. NCDOT State Transportation Improvement Program has allocated $48M for Swannanoa River Roadway corridor modernization in future years. The City will also pursue FEMA Flood Mitigation and Building Resilient Infrastructure and Communities funding for buyouts and floodplain restoration. City and County Metropolitan Sewerage District capital improvement funds can be used for utility relocations in the corridor. Businesses and households in the area will benefit from this project.",City of Asheville,Local Government,Planning,4/22/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,10/6/22,150000,150000,Asheville
Mooresboro town,45,Cleveland,3744160,220,124.5,1.77,1,32,163,47,116,24,0,24,56,0.63,0,0.33,0.33,,,,,,,,,,,,,,,
Mooresville town,97,Iredell,3744220,38498,1548.6,24.86,1018,8803,23945,1998,21947,4398,370,4028,83,0.3,0.42,2.84,3.27,,,,,,,,,,,,,,,
Moravian Falls CDP,193,Wilkes,3744280,2074,403.9,5.14,48,375,1125,132,993,526,0,526,61,0.4,0,6.98,6.98,,,,,,,,,,,,,,,
Morehead City town,31,Carteret,3744320,9495,1291,7.36,270,1437,5711,772,4939,1883,165,1718,8,0.41,5.26,49.85,55.11,,,,,,,,,,,,,,,
Morganton city,23,Burke,3744400,16517,858.3,19.24,1934,2204,8838,1936,6902,2779,239,2540,78,0.79,2.85,14.15,17.01,19,Bethel Park Stream Restoration Phase 1,"Bethel Park is a highly utilized recreational park located at the convergence of East Prong Hunting Creek and Fiddlers Run in the City of Morganton. The park currently experiences frequent flooding during heavy rainfall events resulting in standing water and sediment deposition around the athletic field and on the majority of the walking trail encompassing the outer park boundary. Area residents also report flooding impacting their property. The city had a detailed assessment of the watershed conducted, including hydrologic and hydraulic modeling to determine necessary improvements. The overall proposed project involves two phases. Golden LEAF flood mitigation grant funds will be used to support implementation of Phase I which includes stream restoration for East Prong Hunting Creek including excavating a lower floodplain at the elevation of the existing incised stream channel, excavating floodplain benches along the new stream alignment to provide increased flow capacity, establishing a riparian buffer along the banks of East Prong Hunting Creek, constructing bioretention swales to direct overbank stormwater flows into the streams, replacing an existing bridge once the stream is widened, redesigning an existing culvert to improve flow, relocating an existing dog park away from the stream to reduce the pollutant load to downstream receiving waters, and elevating recreational areas such as the athletic field and walking track to mitigate flood impacts on the most used open areas. Additional funding for Phase 1 was awarded by the North Carolina Land and Water Fund Grant in 2021 as well as match funding from the City. There are households located in the immediate project area that will benefit from completion of this project. ",City of Morganton,Local Government,Infrastructure,5/31/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,10/6/22,250000,250000,Morganton
Morrisville town,183,Wake,3744520,27582,3124.1,8.83,366,6630,18820,906,17914,1740,121,1619,,0.26,2.32,7.61,9.94,,,,,,,,,,,,,,,
Morven town,7,Anson,3744560,477,464.4,1.03,25,102,228,27,201,122,8,114,41,0.75,0,2.3,2.3,,,,,,,,,,,,,,,
Mountain Home CDP,89,Henderson,3744700,4352,1154.1,3.77,132,752,2635,361,2274,724,42,682,63,0.33,0.87,10.1,10.98,,,,,,,,,,,,,,,
Mountain View CDP,35,Catawba,3744770,3776,809.8,4.66,320,583,2260,176,2084,605,2,603,59,0.33,0.39,5.35,5.74,,,,,,,,,,,,,,,
Mount Airy city,171,Surry,3744800,10213,873.6,11.69,974,977,5512,1341,4171,2450,610,1840,68,0.67,2.1,9.34,11.44,,,,,,,,,,,,,,,
Mount Gilead town,123,Montgomery,3744900,1202,344.4,3.49,90,118,706,132,574,274,64,210,55,0.7,0.03,0.28,0.31,,,,,,,,,,,,,,,
Mount Holly city,71,Gaston,3744960,15947,1457.3,10.94,481,2893,10834,883,9951,1677,136,1541,74,0.33,1.02,11.36,12.38,,,,,,,,,,,,,,,
Mount Olive town,191,Wayne,3745100,4670,1703.8,2.74,298,440,2498,502,1996,885,174,711,,0.89,0.03,0.35,0.37,,,,,,,,,,,,,,,
Mount Pleasant town,25,Cabarrus,3745140,2007,592.5,3.39,24,381,1150,76,1074,414,33,381,72,0.27,0.49,5.14,5.63,,,,,,,,,,,,,,,
Moyock CDP,53,Currituck,3745460,5180,496.5,10.43,0,1130,3574,0,3574,476,10,466,,0.17,25.58,19.01,44.59,,,,,,,,,,,,,,,
Mulberry CDP,193,Wilkes,3745560,2055,403.4,5.09,0,232,1122,77,1045,701,65,636,68,0.49,0,1.6,1.6,,,,,,,,,,,,,,,
Murfreesboro town,91,Hertford,3745640,2993,1318.6,2.27,363,285,1275,280,995,590,53,537,71,0.95,3.69,7.36,11.05,,,,,,,,,,,,,,,
Murphy town,39,Cherokee,3745660,1855,731.1,2.54,89,169,1063,283,780,415,90,325,57,0.57,2.72,18.81,21.53,,,,,,,,,,,,,,,
Murraysville CDP,129,New Hanover,3745720,16174,1877.6,8.61,191,3116,10669,769,9900,2198,211,1987,64,0.26,0.15,3.91,4.05,,,,,,,,,,,,,,,
Myrtle Grove CDP,129,New Hanover,3745840,11921,1777.6,6.71,72,2705,6829,504,6325,1921,213,1708,64,0.17,4.97,23.99,28.96,,,,,,,,,,,,,,,
Nags Head town,55,Dare,3745880,2965,448,6.62,0,418,1501,159,1342,962,8,954,71,0.21,35,62.76,97.76,21,Roanoke Island Drainage Improvements,"The Roanoke Colony residential neighborhood in Dare County experiences frequent flooding during major storm events due to undersized drainage structures in this flat, low-lying area on the northern end of Roanoke Island. After Hurricane Matthew, NCDOT and Dare County completed the 2019 Roanoke Island Flooding Analysis which proposed drainage improvements. Golden LEAF flood mitigation grant funds will be used to incorporate recommendations to upsize pipes and implement other improvements to the area. Areas upstream flood more frequently and the study determined undersized piping in the project area slowed the drainage of those properties. Proposed work includes replacing 150 linear feet of existing pipe with a larger size, enclosing the ditch within Roanoke Colony with drainage pipe with drop inlets, replacing the culvert beneath Roanoke Trail, removing the culvert immediately downstream of the airport property, and regrading/widening the ditch that runs between the Outer Banks SPCA and airport. Homes located in the upstream area identified in the analysis will benefit from this project.",Dare County,Local Government,Infrastructure,6/23/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,10/6/22,250000,250000,County
Nashville town,127,Nash,3746000,5521,1175.8,4.7,549,971,3112,376,2736,786,90,696,71,0.65,1.09,11.41,12.5,,,,,,,,,,,,,,,
Navassa town,19,Brunswick,3746060,2135,160.2,13.33,118,238,1429,203,1226,334,28,306,69,0.67,1.51,32.23,33.74,13,"Holly, Walnut and Redwood Stormwater Project","Boiling Spring Lakes experiences flooding several times a year along Holly, Walnut, and Redwood roads. In 2014, a preliminary engineering report was conducted along these roads to determine optimal solutions to reduce flooding in the area. A 2021 stormwater management master plan prioritized this project. When flooding occurs in this area, homes experience flooding for multiple days. Boiling Spring Lakes will use Golden LEAF flood mitigation grant funds to install stormwater infrastructure along the areas of Holly, Walnut, and Redwood roads. Project activities include digging approximately 3,000 linear feet of drainage ditches with the installation of driveway pipes and several spans of reinforced concrete pipe. Households in the project area will benefit from this project.",City of Boiling Springs Lakes,Local Government,Infrastructure,5/9/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,8/4/22,250000,250000,Boiling Springs Lakes
Nebo CDP,111,McDowell,3746100,1318,248.9,5.3,14,270,857,168,689,177,40,137,,0.64,0,2.69,2.69,,,,,,,,,,,,,,,
Neuse Forest CDP,49,Craven,3746280,2016,638,3.16,119,539,1056,79,977,302,0,302,62,0.28,0.88,8.95,9.83,8,Channel Run Phase II,"River Bend, specifically in the Channel Run Subdivision, is subject to frequent flooding due to its topography. Following Hurricane Florence, the town contracted with an engineer to investigate the area, assess elevations, and make recommendations to improve drainage to reduce flooding. Golden LEAF flood mitigation grant funds will be used to implement Phase II of the project, re-grading and resloping natural drainage infrastructure (ditches) throughout the community. Completion of Phase II will ensure that water flows efficiently and effectively to mitigate flooding. All of the work will be done within the town's rights-of-way or within stormwater outfall lines already owned by the town. The town will contribute funds to complete the project. There are households located in the immediate project areas, with additional households in the neighborhood that will also benefit from reduced flooding after completion of Phase II. This project will also reduce flooding on a primary road through the development. ",Town of River Bend,Local Government,Infrastructure,3/14/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,6/2/22,250000,250000,River Bend
Neuse Forest CDP,49,Craven,3746280,2016,638,3.16,119,539,1056,79,977,302,0,302,62,0.28,0.88,8.95,9.83,22,Rose Street Pump Retrofit,"The City of New Bern experiences flooding along Rose Street in the Duffyfield community during frequent rain events. The flooding can take up to 2 weeks to fully dewater. In 2020, the city completed a multiphase feasibility study to create the Duffyfield Resiliency Improvement Initiative. Retrofitting of the stormwater pump station on Rose Street was identified as one of the projects to reduce repetitive flooding in this area. Golden LEAF flood mitigation grant funds will be used to modify the existing stormwater pump to allow for better mitigation against larger storm events and lowering the water levels in the Duffyfield community. The city is currently pursuing funding from the NC Land and Water Fund, the NC DOJ Environmental Enhancement Grant, and a Resilient Coastal Communities Grant to implement strategies identified. There are households, businesses, other public and private entities, and a healthcare facility that are in the immediate project area that will benefit from this project. ",City of New Bern,Local Government,Infrastructure,6/30/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,10/6/22,249760,249760,New Bern
New Bern city,49,Craven,3746340,29985,1055.1,28.42,1875,4248,16755,2760,13995,6566,822,5744,79,0.57,3.54,30.02,33.56,8,Channel Run Phase II,"River Bend, specifically in the Channel Run Subdivision, is subject to frequent flooding due to its topography. Following Hurricane Florence, the town contracted with an engineer to investigate the area, assess elevations, and make recommendations to improve drainage to reduce flooding. Golden LEAF flood mitigation grant funds will be used to implement Phase II of the project, re-grading and resloping natural drainage infrastructure (ditches) throughout the community. Completion of Phase II will ensure that water flows efficiently and effectively to mitigate flooding. All of the work will be done within the town's rights-of-way or within stormwater outfall lines already owned by the town. The town will contribute funds to complete the project. There are households located in the immediate project areas, with additional households in the neighborhood that will also benefit from reduced flooding after completion of Phase II. This project will also reduce flooding on a primary road through the development. ",Town of River Bend,Local Government,Infrastructure,3/14/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,6/2/22,250000,250000,River Bend
New Bern city,49,Craven,3746340,29985,1055.1,28.42,1875,4248,16755,2760,13995,6566,822,5744,79,0.57,3.54,30.02,33.56,22,Rose Street Pump Retrofit,"The City of New Bern experiences flooding along Rose Street in the Duffyfield community during frequent rain events. The flooding can take up to 2 weeks to fully dewater. In 2020, the city completed a multiphase feasibility study to create the Duffyfield Resiliency Improvement Initiative. Retrofitting of the stormwater pump station on Rose Street was identified as one of the projects to reduce repetitive flooding in this area. Golden LEAF flood mitigation grant funds will be used to modify the existing stormwater pump to allow for better mitigation against larger storm events and lowering the water levels in the Duffyfield community. The city is currently pursuing funding from the NC Land and Water Fund, the NC DOJ Environmental Enhancement Grant, and a Resilient Coastal Communities Grant to implement strategies identified. There are households, businesses, other public and private entities, and a healthcare facility that are in the immediate project area that will benefit from this project. ",City of New Bern,Local Government,Infrastructure,6/30/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,10/6/22,249760,249760,New Bern
New Hope CDP,191,Wayne,3746650,1328,523.9,2.53,0,397,817,20,797,114,0,114,,0.51,0.26,9.48,9.74,,,,,,,,,,,,,,,
