geography_name,county_fips,county_name,place_fips,total_population,population_density_per_sq_mile,area_land,living_in_poverty,at_or_above_poverty_level,population_age_18_to_64_for_whom_poverty_status_is_determined,living_in_poverty_1,at_or_above_poverty_level_1,population_age_65_and_over_for_whom_poverty_status_is_determined,living_in_poverty_2,at_or_above_poverty_level_2,rural_capacity_headwaters_index,social_vulnerability_cdc_index,percent_of_land_in_500_year_floodplain,percent_of_land_in_100_year_floodplain,total_percent_of_land_at_some_level_of_flood_risk,application_number,project_title,project_description,applicant,applicant_type,project_type,application_date,state_agency_requested_for_funding,funding_request,total_project_budget,funding_decision_year,award_date,grant_award,encumbered,city_town
McDonald town,155,Robeson,3740140,111,435.2,0.26,6,7,61,14,47,37,7,30,55,0.78,0,1.95,1.95,4,Flood Mitigation for the Linkhaw Road Area,"Lumberton, specifically in the area of Linkhaw Road, experiences flooding in any 2-inch or greater rain event. The city completed several studies to develop strategies to resolve flooding throughout the city. This project area is part of its existing studies and is located along a major thoroughfare that is in a 518-acre drainage area. The specific project site is at the downstream end of a drainage ditch that has larger pipes upstream. Due to the undersized existing piping, this project site creates a bottleneck for stormwater flow. Golden LEAF flood mitigation grant funds will be used to upsize the capacity of stormwater at the juncture of Linkhaw Rd and the railroad. The applicant proposes to install stormwater infrastructure to increase the capacity of the flow under the railroad which will require widening the canal to accommodate it. The stormwater will flow into a culvert downstream and into an existing impoundment area. Once the infrastructure work is completed, the city will be able to utilize the road more reliably for emergency services. There are households, public and private entities (including a kidney dialysis center), and a nursing facility in the immediate project area.",City of Lumberton,Local Government,Infrastructure,2/28/22,Golden LEAF Foundation Flood Mitigation Program,NA,NA,2022,6/2/22,250000,250000,Lumberton
McDonald town,155,Robeson,3740140,111,435.2,0.26,6,7,61,14,47,37,7,30,55,0.78,0,1.95,1.95,24,Stormwater Assessment and Plan,"The Town of Maxton experiences flooding during heavy rain events in the subwatershed that drains the eastern half of the town. The town first noticed damage to its system when severe damage occurred following Hurricane Matthew. FEMA addressed many issues in this part of town, including repairs to streets and culverts, but determined the conveyance pipe experienced damage that predated Hurricane Matthew and was not eligible for FEMA funding. Due to this evidence, the town realized other sites have likely experienced damage to infrastructure that was not as dramatically exposed as the damage noticed following Hurricane Matthew. Flooding has affected the town in a number of different ways. Access to emergency services becomes impacted, natural swales throughout the town have filled with sediment, which causes conveyance of the stormwater to no longer flow as it was intended. Sinkholes and depressions have also begun to form around stormwater conveyance pipes due to fractures in the system. Additionally, the town has experienced flooding events that flood the gym and adjacent classrooms in the local elementary school. The railroad running through town has also been overtopped during flooding events. Golden LEAF flood mitigation grant funds will be used to develop a Stormwater Assessment and Plan for the eastern half of the town. Components of this project include field data collection, modeling of existing watersheds, development of concept plans and alternatives, and a summary report. The town has also provided a resolution to its commitment for a funding strategy to implement improvements that are identified in the stormwater comprehensive plan. All residents of the town will benefit from this project. Within the immediate project area there are households, businesses, other public and private entities, and health care providers that will benefit from this project.",Town of Maxton,Local Government,Planning,7/7/22,Golden LEAF Foundation Flood Mitigation Program,NA,NA,2022,10/6/22,122500,122500,Maxton
Magnolia town,61,Duplin,3740640,1274,1192.3,1.07,201,170,778,242,536,125,32,93,53,0.98,NA,NA,NA,1,Flood mitigation Currie/Duplin street,"The stormwater drainage canal located between Duplin and Currie Streets in Wallace experiences flooding during major storms and periods of heavy rainfall occurring within a short period of time. Continued flooding has resulted in caving in and widening of the canal which is now in danger of undermining nearby houses. Previous efforts by the Town to haul in dirt to shore up the bank have not provided a viable long term solution. Golden LEAF flood mitigation grant funds will be used to install sheet piling and rip rap along the bank to stop erosion, improve the transport of stormwater, and significantly reduce flooding along the canal. This canal carries one third of total stormwater for the town and connects downstream to the main branch of Little Rockfish Creek, which is the town’s main drainage area. There are two households in the immediate project area. The flooding and erosion also threaten a main sewer line that crosses over and runs parallel to the canal,  and which must be inspected for damage and exposure after each heavy rain event.
",Town of Wallace,Local Government,Infrastructure,2/22/22,Golden LEAF Foundation Flood Mitigation Program,NA,NA,2022,6/2/22,250000,250000,Wallace
Mamers CDP,85,Harnett,3740860,613,101.5,6.04,34,47,460,64,396,72,1,71,NA,0.71,0,0.37,0.37,2,Town-wide Hydrologic + Hydraulic (H+H) Analysis,"Lillington is subject to frequent flooding which makes roads impassable and reduces access to emergency services. The town began to recognize how severe the stormwater system’s limitations are after a major rainstorm in 2020. Following the rain event, the town identified several areas of inadequate and damaged stormwater infrastructure. Golden LEAF flood mitigation grant funds will be used for engineering expenses for analysis and planning regarding ten flooding hotspots. There are households, public and private entities within the immediate project area of the identified hotspots. The entire town will benefit from this project. Major highways, including NC 210, US 401, US 421, and NC 27 will also benefit since they pass through Lillington and are frequently closed during heavy rain events.",Town of Lillington,Local Government,Planning,2/23/22,Golden LEAF Foundation Flood Mitigation Program,NA,NA,2022,6/2/22,225250,225250,Lillington
Manns Harbor CDP,55,Dare,3740980,719,180.1,3.99,15,109,402,0,402,193,14,179,NA,0.23,1.95,98.05,100,21,Roanoke Island Drainage Improvements,"The Roanoke Colony residential neighborhood in Dare County experiences frequent flooding during major storm events due to undersized drainage structures in this flat, low-lying area on the northern end of Roanoke Island. After Hurricane Matthew, NCDOT and Dare County completed the 2019 Roanoke Island Flooding Analysis which proposed drainage improvements. Golden LEAF flood mitigation grant funds will be used to incorporate recommendations to upsize pipes and implement other improvements to the area. Areas upstream flood more frequently and the study determined undersized piping in the project area slowed the drainage of those properties. Proposed work includes replacing 150 linear feet of existing pipe with a larger size, enclosing the ditch within Roanoke Colony with drainage pipe with drop inlets, replacing the culvert beneath Roanoke Trail, removing the culvert immediately downstream of the airport property, and regrading/widening the ditch that runs between the Outer Banks SPCA and airport. Homes located in the upstream area identified in the analysis will benefit from this project.",Dare County,Local Government,Infrastructure,6/23/22,Golden LEAF Foundation Flood Mitigation Program,NA,NA,2022,10/6/22,250000,250000,County
Manteo town,55,Dare,3741060,1883,1003.3,1.88,194,206,1051,174,877,428,13,415,8,0.52,1.5,98.5,100,21,Roanoke Island Drainage Improvements,"The Roanoke Colony residential neighborhood in Dare County experiences frequent flooding during major storm events due to undersized drainage structures in this flat, low-lying area on the northern end of Roanoke Island. After Hurricane Matthew, NCDOT and Dare County completed the 2019 Roanoke Island Flooding Analysis which proposed drainage improvements. Golden LEAF flood mitigation grant funds will be used to incorporate recommendations to upsize pipes and implement other improvements to the area. Areas upstream flood more frequently and the study determined undersized piping in the project area slowed the drainage of those properties. Proposed work includes replacing 150 linear feet of existing pipe with a larger size, enclosing the ditch within Roanoke Colony with drainage pipe with drop inlets, replacing the culvert beneath Roanoke Trail, removing the culvert immediately downstream of the airport property, and regrading/widening the ditch that runs between the Outer Banks SPCA and airport. Homes located in the upstream area identified in the analysis will benefit from this project.",Dare County,Local Government,Infrastructure,6/23/22,Golden LEAF Foundation Flood Mitigation Program,NA,NA,2022,10/6/22,250000,250000,County
Marietta town,155,Robeson,3741380,146,130.7,1.12,8,29,64,13,51,45,2,43,57,0.93,0,7.3,7.3,4,Flood Mitigation for the Linkhaw Road Area,"Lumberton, specifically in the area of Linkhaw Road, experiences flooding in any 2-inch or greater rain event. The city completed several studies to develop strategies to resolve flooding throughout the city. This project area is part of its existing studies and is located along a major thoroughfare that is in a 518-acre drainage area. The specific project site is at the downstream end of a drainage ditch that has larger pipes upstream. Due to the undersized existing piping, this project site creates a bottleneck for stormwater flow. Golden LEAF flood mitigation grant funds will be used to upsize the capacity of stormwater at the juncture of Linkhaw Rd and the railroad. The applicant proposes to install stormwater infrastructure to increase the capacity of the flow under the railroad which will require widening the canal to accommodate it. The stormwater will flow into a culvert downstream and into an existing impoundment area. Once the infrastructure work is completed, the city will be able to utilize the road more reliably for emergency services. There are households, public and private entities (including a kidney dialysis center), and a nursing facility in the immediate project area.",City of Lumberton,Local Government,Infrastructure,2/28/22,Golden LEAF Foundation Flood Mitigation Program,NA,NA,2022,6/2/22,250000,250000,Lumberton
Marietta town,155,Robeson,3741380,146,130.7,1.12,8,29,64,13,51,45,2,43,57,0.93,0,7.3,7.3,24,Stormwater Assessment and Plan,"The Town of Maxton experiences flooding during heavy rain events in the subwatershed that drains the eastern half of the town. The town first noticed damage to its system when severe damage occurred following Hurricane Matthew. FEMA addressed many issues in this part of town, including repairs to streets and culverts, but determined the conveyance pipe experienced damage that predated Hurricane Matthew and was not eligible for FEMA funding. Due to this evidence, the town realized other sites have likely experienced damage to infrastructure that was not as dramatically exposed as the damage noticed following Hurricane Matthew. Flooding has affected the town in a number of different ways. Access to emergency services becomes impacted, natural swales throughout the town have filled with sediment, which causes conveyance of the stormwater to no longer flow as it was intended. Sinkholes and depressions have also begun to form around stormwater conveyance pipes due to fractures in the system. Additionally, the town has experienced flooding events that flood the gym and adjacent classrooms in the local elementary school. The railroad running through town has also been overtopped during flooding events. Golden LEAF flood mitigation grant funds will be used to develop a Stormwater Assessment and Plan for the eastern half of the town. Components of this project include field data collection, modeling of existing watersheds, development of concept plans and alternatives, and a summary report. The town has also provided a resolution to its commitment for a funding strategy to implement improvements that are identified in the stormwater comprehensive plan. All residents of the town will benefit from this project. Within the immediate project area there are households, businesses, other public and private entities, and health care providers that will benefit from this project.",Town of Maxton,Local Government,Planning,7/7/22,Golden LEAF Foundation Flood Mitigation Program,NA,NA,2022,10/6/22,122500,122500,Maxton
Maxton town,155,Robeson,3742020,2614,968.8,2.7,493,221,1494,534,960,406,77,329,NA,0.93,0.04,8.37,8.41,4,Flood Mitigation for the Linkhaw Road Area,"Lumberton, specifically in the area of Linkhaw Road, experiences flooding in any 2-inch or greater rain event. The city completed several studies to develop strategies to resolve flooding throughout the city. This project area is part of its existing studies and is located along a major thoroughfare that is in a 518-acre drainage area. The specific project site is at the downstream end of a drainage ditch that has larger pipes upstream. Due to the undersized existing piping, this project site creates a bottleneck for stormwater flow. Golden LEAF flood mitigation grant funds will be used to upsize the capacity of stormwater at the juncture of Linkhaw Rd and the railroad. The applicant proposes to install stormwater infrastructure to increase the capacity of the flow under the railroad which will require widening the canal to accommodate it. The stormwater will flow into a culvert downstream and into an existing impoundment area. Once the infrastructure work is completed, the city will be able to utilize the road more reliably for emergency services. There are households, public and private entities (including a kidney dialysis center), and a nursing facility in the immediate project area.",City of Lumberton,Local Government,Infrastructure,2/28/22,Golden LEAF Foundation Flood Mitigation Program,NA,NA,2022,6/2/22,250000,250000,Lumberton
Maxton town,155,Robeson,3742020,2614,968.8,2.7,493,221,1494,534,960,406,77,329,NA,0.93,0.04,8.37,8.41,24,Stormwater Assessment and Plan,"The Town of Maxton experiences flooding during heavy rain events in the subwatershed that drains the eastern half of the town. The town first noticed damage to its system when severe damage occurred following Hurricane Matthew. FEMA addressed many issues in this part of town, including repairs to streets and culverts, but determined the conveyance pipe experienced damage that predated Hurricane Matthew and was not eligible for FEMA funding. Due to this evidence, the town realized other sites have likely experienced damage to infrastructure that was not as dramatically exposed as the damage noticed following Hurricane Matthew. Flooding has affected the town in a number of different ways. Access to emergency services becomes impacted, natural swales throughout the town have filled with sediment, which causes conveyance of the stormwater to no longer flow as it was intended. Sinkholes and depressions have also begun to form around stormwater conveyance pipes due to fractures in the system. Additionally, the town has experienced flooding events that flood the gym and adjacent classrooms in the local elementary school. The railroad running through town has also been overtopped during flooding events. Golden LEAF flood mitigation grant funds will be used to develop a Stormwater Assessment and Plan for the eastern half of the town. Components of this project include field data collection, modeling of existing watersheds, development of concept plans and alternatives, and a summary report. The town has also provided a resolution to its commitment for a funding strategy to implement improvements that are identified in the stormwater comprehensive plan. All residents of the town will benefit from this project. Within the immediate project area there are households, businesses, other public and private entities, and health care providers that will benefit from this project.",Town of Maxton,Local Government,Planning,7/7/22,Golden LEAF Foundation Flood Mitigation Program,NA,NA,2022,10/6/22,122500,122500,Maxton
Micro town,101,Johnston,3742620,688,1640.9,0.42,133,72,330,138,192,153,45,108,54,0.73,NA,NA,NA,23,Selma Flood Mitigation modeling,"The Town of Selma experiences flooding during heavy non-named rain events in the northeast quadrant of town. The town is separated in four quadrants that are separated by railroads crossing through the center of town. Each quadrant has its own individual internal drainage creating a bowl type system. Golden LEAF flood mitigation grant funds will be used to develop a stormwater master plan for the Town of Selma in the northeastern quadrant. Components of this project include field data collection, modeling of existing watersheds, development of concept plans and alternatives, and a summary report. Within this quadrant there are households, businesses, other public and private facilities, and healthcare facilities that will benefit from this project. Additionally, the Town Hall, the Selma Fire Department, and the historic Rudy Theater are located in this area. The roads around the fire and EMS stations become impassable. Access to US highway 301 also becomes restricted during flood events. ",Town of Selma,Local Government,Planning,7/7/22,Golden LEAF Foundation Flood Mitigation Program,NA,NA,2022,10/6/22,137500,137500,Selma
Millingport CDP,167,Stanly,3743200,448,78.9,5.68,0,44,315,0,315,89,0,89,NA,0.51,0,1.45,1.45,20,Little Long Creek 2 Watershed Plan,"The City of Albemarle has experienced flooding issues related to aging infrastructure and growth within the city. Golden LEAF flood mitigation grant funds will be used for a watershed study for the Little Long Creek 2 sub-basin. Components of this study include field investigation, stormwater inventory, H&H modeling, analysis of secondary systems, and the development of a watershed master plan. With the development of the master plan, the city plans to perform cost benefit analysis and priority rankings to aid staff in its implementation. Once completed, the city will be able to prioritize projects to undertake along this watershed. The city plans to fund these projects through an enterprise fund with the development of a stormwater management program and anticipates collecting fees for this program beginning in January 2023. In this project area there are households, businesses, and other public and private entities that will benefit from the completion of this project. ",City of Albemarle,Local Government,Planning,6/15/22,Golden LEAF Foundation Flood Mitigation Program,NA,NA,2022,10/6/22,250000,250000,Albemarle
Misenheimer village,167,Stanly,3743580,702,432.4,1.62,0,43,118,4,114,74,5,69,NA,0.47,0,3.4,3.4,20,Little Long Creek 2 Watershed Plan,"The City of Albemarle has experienced flooding issues related to aging infrastructure and growth within the city. Golden LEAF flood mitigation grant funds will be used for a watershed study for the Little Long Creek 2 sub-basin. Components of this study include field investigation, stormwater inventory, H&H modeling, analysis of secondary systems, and the development of a watershed master plan. With the development of the master plan, the city plans to perform cost benefit analysis and priority rankings to aid staff in its implementation. Once completed, the city will be able to prioritize projects to undertake along this watershed. The city plans to fund these projects through an enterprise fund with the development of a stormwater management program and anticipates collecting fees for this program beginning in January 2023. In this project area there are households, businesses, and other public and private entities that will benefit from the completion of this project. ",City of Albemarle,Local Government,Planning,6/15/22,Golden LEAF Foundation Flood Mitigation Program,NA,NA,2022,10/6/22,250000,250000,Albemarle
Moncure CDP,37,Chatham,3743880,798,168.7,4.73,0,96,579,17,562,123,0,123,NA,0.35,0.3,17.16,17.46,16,Loves Creek Tributary 2 Flood Study,The Town of Siler City experiences flooding along Loves Creek Tributary 2 several times a year during heavy rain events. Flooding along the tributary causes nearby businesses to experience property damage and roadways to flood resulting in loss of access by the public. Golden LEAF flood mitigation grant funds will be used for necessary analysis to determine a list of priority projects for flood and stormwater mitigation. The town and business owners in the area will be responsible for implementation. The town is also committing to the creation of a stormwater utility fund. Businesses and households in the area will benefit from this project.,Town of Siler City,Local Government,Planning,3/29/22,Golden LEAF Foundation Flood Mitigation Program,NA,NA,2022,10/6/22,210000,210000,Siler City
Montreat town,21,Buncombe,3744100,362,132.8,2.73,0,6,28,0,28,12,0,12,74,0.5,0.65,1.51,2.17,17,Swannanoa River Road Flood Mitigation and Damage Reduction Feasibility Study,"The Swannanoa River floodplains between South Tunnel Road and Biltmore Avenue and Hendersonville Road in Asheville experience frequent flooding resulting in closure of Swannanoa River Road, property damage, disruption of emergency service access, and increased wastewater treatment costs due to sanitary sewer overflows. Swannanoa River Road serves as the principal east-west corridor for emergency services and access to Mission Hospital and Mission Children's Hospital. Golden LEAF flood mitigation grant funds will be used to evaluate the flood mitigation and flood damage reduction benefits of potential actions through hydrologic and hydraulic modeling, updating the Structure Inventory Database, developing a conceptual plan and feasibility analysis, and implementation cost estimates for the potential floodplain modifications. NCDOT State Transportation Improvement Program has allocated $48M for Swannanoa River Roadway corridor modernization in future years. The City will also pursue FEMA Flood Mitigation and Building Resilient Infrastructure and Communities funding for buyouts and floodplain restoration. City and County Metropolitan Sewerage District capital improvement funds can be used for utility relocations in the corridor. Businesses and households in the area will benefit from this project.",City of Asheville,Local Government,Planning,4/22/22,Golden LEAF Foundation Flood Mitigation Program,NA,NA,2022,10/6/22,150000,150000,Asheville
Morganton city,23,Burke,3744400,16517,858.3,19.24,1934,2204,8838,1936,6902,2779,239,2540,78,0.79,2.85,14.15,17.01,19,Bethel Park Stream Restoration Phase 1,"Bethel Park is a highly utilized recreational park located at the convergence of East Prong Hunting Creek and Fiddlers Run in the City of Morganton. The park currently experiences frequent flooding during heavy rainfall events resulting in standing water and sediment deposition around the athletic field and on the majority of the walking trail encompassing the outer park boundary. Area residents also report flooding impacting their property. The city had a detailed assessment of the watershed conducted, including hydrologic and hydraulic modeling to determine necessary improvements. The overall proposed project involves two phases. Golden LEAF flood mitigation grant funds will be used to support implementation of Phase I which includes stream restoration for East Prong Hunting Creek including excavating a lower floodplain at the elevation of the existing incised stream channel, excavating floodplain benches along the new stream alignment to provide increased flow capacity, establishing a riparian buffer along the banks of East Prong Hunting Creek, constructing bioretention swales to direct overbank stormwater flows into the streams, replacing an existing bridge once the stream is widened, redesigning an existing culvert to improve flow, relocating an existing dog park away from the stream to reduce the pollutant load to downstream receiving waters, and elevating recreational areas such as the athletic field and walking track to mitigate flood impacts on the most used open areas. Additional funding for Phase 1 was awarded by the North Carolina Land and Water Fund Grant in 2021 as well as match funding from the City. There are households located in the immediate project area that will benefit from completion of this project. ",City of Morganton,Local Government,Infrastructure,5/31/22,Golden LEAF Foundation Flood Mitigation Program,NA,NA,2022,10/6/22,250000,250000,Morganton
Nags Head town,55,Dare,3745880,2965,448,6.62,0,418,1501,159,1342,962,8,954,71,0.21,35,62.76,97.76,21,Roanoke Island Drainage Improvements,"The Roanoke Colony residential neighborhood in Dare County experiences frequent flooding during major storm events due to undersized drainage structures in this flat, low-lying area on the northern end of Roanoke Island. After Hurricane Matthew, NCDOT and Dare County completed the 2019 Roanoke Island Flooding Analysis which proposed drainage improvements. Golden LEAF flood mitigation grant funds will be used to incorporate recommendations to upsize pipes and implement other improvements to the area. Areas upstream flood more frequently and the study determined undersized piping in the project area slowed the drainage of those properties. Proposed work includes replacing 150 linear feet of existing pipe with a larger size, enclosing the ditch within Roanoke Colony with drainage pipe with drop inlets, replacing the culvert beneath Roanoke Trail, removing the culvert immediately downstream of the airport property, and regrading/widening the ditch that runs between the Outer Banks SPCA and airport. Homes located in the upstream area identified in the analysis will benefit from this project.",Dare County,Local Government,Infrastructure,6/23/22,Golden LEAF Foundation Flood Mitigation Program,NA,NA,2022,10/6/22,250000,250000,County
Navassa town,19,Brunswick,3746060,2135,160.2,13.33,118,238,1429,203,1226,334,28,306,69,0.67,1.51,32.23,33.74,13,"Holly, Walnut and Redwood Stormwater Project","Boiling Spring Lakes experiences flooding several times a year along Holly, Walnut, and Redwood roads. In 2014, a preliminary engineering report was conducted along these roads to determine optimal solutions to reduce flooding in the area. A 2021 stormwater management master plan prioritized this project. When flooding occurs in this area, homes experience flooding for multiple days. Boiling Spring Lakes will use Golden LEAF flood mitigation grant funds to install stormwater infrastructure along the areas of Holly, Walnut, and Redwood roads. Project activities include digging approximately 3,000 linear feet of drainage ditches with the installation of driveway pipes and several spans of reinforced concrete pipe. Households in the project area will benefit from this project.",City of Boiling Springs Lakes,Local Government,Infrastructure,5/9/22,Golden LEAF Foundation Flood Mitigation Program,NA,NA,2022,8/4/22,250000,250000,Boiling Springs Lakes
Neuse Forest CDP,49,Craven,3746280,2016,638,3.16,119,539,1056,79,977,302,0,302,62,0.28,0.88,8.95,9.83,8,Channel Run Phase II,"River Bend, specifically in the Channel Run Subdivision, is subject to frequent flooding due to its topography. Following Hurricane Florence, the town contracted with an engineer to investigate the area, assess elevations, and make recommendations to improve drainage to reduce flooding. Golden LEAF flood mitigation grant funds will be used to implement Phase II of the project, re-grading and resloping natural drainage infrastructure (ditches) throughout the community. Completion of Phase II will ensure that water flows efficiently and effectively to mitigate flooding. All of the work will be done within the town's rights-of-way or within stormwater outfall lines already owned by the town. The town will contribute funds to complete the project. There are households located in the immediate project areas, with additional households in the neighborhood that will also benefit from reduced flooding after completion of Phase II. This project will also reduce flooding on a primary road through the development. ",Town of River Bend,Local Government,Infrastructure,3/14/22,Golden LEAF Foundation Flood Mitigation Program,NA,NA,2022,6/2/22,250000,250000,River Bend
Neuse Forest CDP,49,Craven,3746280,2016,638,3.16,119,539,1056,79,977,302,0,302,62,0.28,0.88,8.95,9.83,22,Rose Street Pump Retrofit,"The City of New Bern experiences flooding along Rose Street in the Duffyfield community during frequent rain events. The flooding can take up to 2 weeks to fully dewater. In 2020, the city completed a multiphase feasibility study to create the Duffyfield Resiliency Improvement Initiative. Retrofitting of the stormwater pump station on Rose Street was identified as one of the projects to reduce repetitive flooding in this area. Golden LEAF flood mitigation grant funds will be used to modify the existing stormwater pump to allow for better mitigation against larger storm events and lowering the water levels in the Duffyfield community. The city is currently pursuing funding from the NC Land and Water Fund, the NC DOJ Environmental Enhancement Grant, and a Resilient Coastal Communities Grant to implement strategies identified. There are households, businesses, other public and private entities, and a healthcare facility that are in the immediate project area that will benefit from this project. ",City of New Bern,Local Government,Infrastructure,6/30/22,Golden LEAF Foundation Flood Mitigation Program,NA,NA,2022,10/6/22,249760,249760,New Bern
New Bern city,49,Craven,3746340,29985,1055.1,28.42,1875,4248,16755,2760,13995,6566,822,5744,79,0.57,3.54,30.02,33.56,8,Channel Run Phase II,"River Bend, specifically in the Channel Run Subdivision, is subject to frequent flooding due to its topography. Following Hurricane Florence, the town contracted with an engineer to investigate the area, assess elevations, and make recommendations to improve drainage to reduce flooding. Golden LEAF flood mitigation grant funds will be used to implement Phase II of the project, re-grading and resloping natural drainage infrastructure (ditches) throughout the community. Completion of Phase II will ensure that water flows efficiently and effectively to mitigate flooding. All of the work will be done within the town's rights-of-way or within stormwater outfall lines already owned by the town. The town will contribute funds to complete the project. There are households located in the immediate project areas, with additional households in the neighborhood that will also benefit from reduced flooding after completion of Phase II. This project will also reduce flooding on a primary road through the development. ",Town of River Bend,Local Government,Infrastructure,3/14/22,Golden LEAF Foundation Flood Mitigation Program,NA,NA,2022,6/2/22,250000,250000,River Bend
New Bern city,49,Craven,3746340,29985,1055.1,28.42,1875,4248,16755,2760,13995,6566,822,5744,79,0.57,3.54,30.02,33.56,22,Rose Street Pump Retrofit,"The City of New Bern experiences flooding along Rose Street in the Duffyfield community during frequent rain events. The flooding can take up to 2 weeks to fully dewater. In 2020, the city completed a multiphase feasibility study to create the Duffyfield Resiliency Improvement Initiative. Retrofitting of the stormwater pump station on Rose Street was identified as one of the projects to reduce repetitive flooding in this area. Golden LEAF flood mitigation grant funds will be used to modify the existing stormwater pump to allow for better mitigation against larger storm events and lowering the water levels in the Duffyfield community. The city is currently pursuing funding from the NC Land and Water Fund, the NC DOJ Environmental Enhancement Grant, and a Resilient Coastal Communities Grant to implement strategies identified. There are households, businesses, other public and private entities, and a healthcare facility that are in the immediate project area that will benefit from this project. ",City of New Bern,Local Government,Infrastructure,6/30/22,Golden LEAF Foundation Flood Mitigation Program,NA,NA,2022,10/6/22,249760,249760,New Bern
New London town,167,Stanly,3746820,640,324,1.98,11,106,428,39,389,95,0,95,64,0.36,0,0.7,0.7,20,Little Long Creek 2 Watershed Plan,"The City of Albemarle has experienced flooding issues related to aging infrastructure and growth within the city. Golden LEAF flood mitigation grant funds will be used for a watershed study for the Little Long Creek 2 sub-basin. Components of this study include field investigation, stormwater inventory, H&H modeling, analysis of secondary systems, and the development of a watershed master plan. With the development of the master plan, the city plans to perform cost benefit analysis and priority rankings to aid staff in its implementation. Once completed, the city will be able to prioritize projects to undertake along this watershed. The city plans to fund these projects through an enterprise fund with the development of a stormwater management program and anticipates collecting fees for this program beginning in January 2023. In this project area there are households, businesses, and other public and private entities that will benefit from the completion of this project. ",City of Albemarle,Local Government,Planning,6/15/22,Golden LEAF Foundation Flood Mitigation Program,NA,NA,2022,10/6/22,250000,250000,Albemarle
Newton Grove town,163,Sampson,3747020,616,199.9,3.08,21,54,366,37,329,175,3,172,46,0.71,0.64,5.96,6.6,9,Clinton Weeks Street Hazard Mitigation Project 2022,"The City of Clinton experiences frequent flooding along Weeks Street, including three major flooding events in 2021. During flooding events along Weeks Street, emergency vehicles are unable to access residences and surrounding roads (including Highway 24) are overtopped. A 2020 preliminary drainage feasibility study found that flooding is likely caused by an undersized pipe system with minimal elevation change. Currently, the existing drainage route runs along Weeks Street into the drainage route from Smithfield Packing Company. Golden LEAF flood mitigation grant funds will be used to reroute the existing drainage system into a separate path to cross Highway 24 and into an existing farm ditch. Additional curb inlets and reinforced concrete pipe will be installed to support the design. City and other funds will be used to improve the existing farm ditch which currently collects runoff. Households in the project area and vehicles traveling on adjacent roads will benefit from this project.",Town of Clinton,Local Government,Infrastructure,2/28/22,Golden LEAF Foundation Flood Mitigation Program,NA,NA,2022,8/4/22,250000,250000,Clinton
North Topsail Beach town,141,Pender,3747845,849,136.5,6.22,12,35,489,76,413,313,33,280,57,0.07,0,98.72,98.72,3,Surf City South Shore Flood Mitigation Project,"The 2200 block of South Shore Drive in Surf City experiences flooding on the roadway due to insufficient stormwater infrastructure. Stormwater runoff is trapped on the road by higher elevation of driveways serving houses along the road. Heavy rainfall causes flooding that obstructs passage of vehicles, including public safety vehicles. This road is the only way in and out of southern Surf City and serves the entirety of Topsail Beach. A feasibility study of the overall stormwater issues along South Shore Drive developed a specific solution to address the issue. Golden LEAF flood mitigation grant funds will be used to install a catch basin with drain pipe to convey stormwater to a new infiltration chamber system that collects and releases stormwater back into native soils. Once completed, the town’s utilities staff will maintain the system. The project will directly serve households, and public and private entities.",Town of Surf City,Local Government,Infrastructure,2/25/22,Golden LEAF Foundation Flood Mitigation Program,NA,NA,2022,6/2/22,250000,250000,Surf City
Northwest city,19,Brunswick,3747860,778,108.5,7.17,33,89,481,74,407,175,17,158,56,0.54,0,1.89,1.89,13,"Holly, Walnut and Redwood Stormwater Project","Boiling Spring Lakes experiences flooding several times a year along Holly, Walnut, and Redwood roads. In 2014, a preliminary engineering report was conducted along these roads to determine optimal solutions to reduce flooding in the area. A 2021 stormwater management master plan prioritized this project. When flooding occurs in this area, homes experience flooding for multiple days. Boiling Spring Lakes will use Golden LEAF flood mitigation grant funds to install stormwater infrastructure along the areas of Holly, Walnut, and Redwood roads. Project activities include digging approximately 3,000 linear feet of drainage ditches with the installation of driveway pipes and several spans of reinforced concrete pipe. Households in the project area will benefit from this project.",City of Boiling Springs Lakes,Local Government,Infrastructure,5/9/22,Golden LEAF Foundation Flood Mitigation Program,NA,NA,2022,8/4/22,250000,250000,Boiling Springs Lakes
Norwood town,167,Stanly,3747980,2831,623.9,4.54,103,500,1858,265,1593,363,9,354,68,0.48,0.23,1.98,2.21,20,Little Long Creek 2 Watershed Plan,"The City of Albemarle has experienced flooding issues related to aging infrastructure and growth within the city. Golden LEAF flood mitigation grant funds will be used for a watershed study for the Little Long Creek 2 sub-basin. Components of this study include field investigation, stormwater inventory, H&H modeling, analysis of secondary systems, and the development of a watershed master plan. With the development of the master plan, the city plans to perform cost benefit analysis and priority rankings to aid staff in its implementation. Once completed, the city will be able to prioritize projects to undertake along this watershed. The city plans to fund these projects through an enterprise fund with the development of a stormwater management program and anticipates collecting fees for this program beginning in January 2023. In this project area there are households, businesses, and other public and private entities that will benefit from the completion of this project. ",City of Albemarle,Local Government,Planning,6/15/22,Golden LEAF Foundation Flood Mitigation Program,NA,NA,2022,10/6/22,250000,250000,Albemarle
